dataset,site_name,site_id,X,Y,ESA CCI,Chopping et al.,GEDI L4B,Liu et al.,LT-GNN,Menlove & Healey,Xu et al.
Ameriflux,Walker Branch Watershed,US-WBW,-84.2874,35.9588,NA,NA,166.45954197976252,91.84534454345703,NA,120.57734680175778,NA
Ameriflux,Willow Creek,US-WCr,-90.0799,45.8059,NA,NA,175.39139473044082,132.4522705078125,NA,64.18560791015628,NA
Ameriflux,Walden,US-Wdn,-106.2618,40.7838,NA,0,1.6665002143922674,11.585564403310618,NA,9.677491188049311,14.838720321655273
Ameriflux,West Edge Parking Lot,US-WEP,-70.9543,43.1421,NA,NA,119.93852286565765,105.88687896728516,NA,86.76229095458983,NA
Ameriflux,Willamette Grass,US-Wgr,-122.656,45.1129,31.398587754790046,NA,36.801230440449665,69.7401351928711,NA,71.78642654802026,46.92523956298828
Ameriflux,Walnut Gulch Lucky Hills Shrub,US-Whs,-110.0522,31.7438,0,0,2.2040018167338835,15.747584599970883,0.632496659693738,7.984411754137557,10.375687599182129
Ameriflux,Young red pine (YRP),US-Wi0,-91.0814,46.6188,NA,NA,88.85696148980998,117.52467346191406,NA,72.88722991943357,NA
Ameriflux,Intermediate hardwood (IHW),US-Wi1,-91.2329,46.7305,NA,NA,143.37090740736767,117.52467346191406,NA,70.95999908447268,NA
Ameriflux,Intermediate red pine (IRP),US-Wi2,-91.1528,46.6869,NA,NA,89.30663117138583,117.52467346191406,NA,70.95999908447261,NA
Ameriflux,Mature hardwood (MHW),US-Wi3,-91.0987,46.6347,NA,NA,130.1309729556287,117.52467346191406,NA,72.73499965047846,NA
Ameriflux,Mature red pine (MRP),US-Wi4,-91.1663,46.7393,NA,NA,113.2643400364005,117.52467346191406,NA,70.95999908447266,NA
Ameriflux,Mixed young jack pine (MYJP),US-Wi5,-91.0858,46.6531,NA,NA,129.87428508617415,117.52467346191406,NA,70.95999908447264,NA
Ameriflux,Pine barrens #1 (PB1),US-Wi6,-91.2982,46.6249,NA,NA,37.246229012763806,114.072998046875,NA,60.0387700197504,NA
Ameriflux,Red pine clearcut (RPCC),US-Wi7,-91.0693,46.6491,NA,NA,58.36655026588261,117.52467346191405,NA,70.95999908447271,NA
Ameriflux,Young hardwood clearcut (YHW),US-Wi8,-91.2524,46.7223,NA,NA,170.9364120562524,115.40106849640941,NA,65.2538291724278,NA
Ameriflux,Young Jack pine (YJP),US-Wi9,-91.0746,46.7385,NA,NA,78.3688146623111,117.52467346191406,NA,70.95999908447271,NA
Ameriflux,Willard Juniper Savannah,US-Wjs,-105.8615,34.4255,0,0.0019456923003352469,2.3577736073924984,8.798129081726074,NA,11.577199935913084,1.2779356241226196
Ameriflux,Walnut Gulch Kendall Grasslands,US-Wkg,-109.9419,31.7365,0,0,3.714253866341624,13.939786911010742,1.0760201907399765,1.90816593170166,16.66621208190918
Ameriflux,Walnut River Watershed (Smileyburg),US-Wlr,-96.855,37.5208,NA,NA,3.396584452149359,10.688872337341309,NA,4.680122375488285,NA
Ameriflux,Willamette Poplar,US-Wpp,-123.1824,44.1369,20.329680771735852,NA,29.187955294238026,56.86534881591797,NA,0.5750963687896726,42.2553596496582
